character,dialogue,episode,line
Biggs,Your uncle could hold off a whole colony of Sand People with one blaster.,4,83
Luke,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.",4,84
Biggs,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",4,85
Luke,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.,4,86
Biggs,Things always change.,4,87
Luke,I wish I was going...  Are you going to be around long? ,4,88
Biggs,"No, I'm leaving in the morning...",4,89
Luke,Then I guess I won't see you.,4,90
Biggs,Maybe someday...  I'll keep a lookout.,4,91
Luke,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.",4,92
Biggs,"So long, Luke.",4,93
Threepio,Artoo-Detoo!  It's you!  It's you!,4,94
First Trooper,Someone was in the pod.  The tracks go off in this direction. ,4,95
Second Trooper,"Look, sir - droids.",4,96
Threepio,Wake up!  Wake up!,4,97
Threepio,We're doomed.,4,98
Threepio,Do you think they'll melt us down?,4,99
Threepio,Don't shoot!  Don't shoot!  Will this never end?,4,100
Beru,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",4,101
Luke,It looks like we don't have much of a choice but I'll remind him.,4,102
Owen,I have no need for a protocol droid.,4,103
Threepio,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...,4,104
Owen,What I really need is a droid that understands the binary languages of moisture vaporators.,4,105
Threepio,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,4,106
Owen,Do you speak Bocce?,4,107
Threepio,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce...",4,108
Owen,All right; shut up! I'll take this one.,4,109
Threepio,"Shutting up, sir.",4,110
Owen,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.",4,111
Luke,But I was going into Toshi Station to pick up some power converters...,4,112
Owen,"You can waste time with your friends when your chores are done.  Now, come on, get to it!",4,113
Luke,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go.",4,114
Luke,Uncle Owen...,4,115
Owen,Yeah?,4,116
Luke,This R2 unit has a bad motivator.  Look!,4,117
Owen,"Hey, what're you trying to push on us?",4,118
Threepio,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",4,119
Luke,Uncle Owen...,4,120
Owen,Yeah?,4,121
Luke,What about that one?,4,122
Owen,What about that blue one?  We'll take that one.,4,123
Luke,"Yeah, take it away.",4,124
Threepio,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes.",4,125
Luke,"Okay, let's go.",4,126
Threepio,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!",4,127
Threepio,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!",4,128
Luke,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!",4,129
Threepio,Is there anything I might do to help? ,4,130
Luke,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",4,131
